,Company Name,Location,Industry,Produktbeschreibung,Vertriebserfolge,Mitbewerber-Analyse,Beschreibung der Marktsituation,Durchgeführte Marktanalyse,Zielbranchen,Sales-Channel,Vertriebsaktivitäten,Team Members,Finanzierungs-Summe,Phase,Art der Finanzierung,Finanzierungsziel,Business Type,Looking for Investment
0,TradersHighway,Chicago,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungInternet & Multimedia,N/A,Nein,"Elizabeth Mihas, Sandeep Dayal, Damon Pavlatos",100.000 USD,N/A,Seed,N/A,N/A,N/A
1,Tradeos,Hong Kong,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,"Internet & MultimediaHandel & EinkaufVerkehr, Transport & Logistik + Automobil",N/A,Nein,,N/A,N/A,Series B,N/A,N/A,N/A
2,UR TRADE FIX Ltd,Limassol,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + VersicherungKredite & Kapitalanlagen,N/A,Nein,"Bar Saraf, Alex Behar, George Spitaliotis, Pantelis Christou, Jonathan Adest, Yonatan Adest, Maxim Krizhanovsky",1.000.000 USD,N/A,Seed,N/A,N/A,N/A
3,Trademob GmbH,Berlin,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRAppsMobilfunkbrancheVertrieb & MarketingSoftware,N/A,Nein,"Hillel Zidel, Sylvius Bardt, Jacky Chou, Ravi Kamran, Alexander Franke, Matthias Schoen, Martin Biermann, Florian Lutz, Heiko Genzlinger",15.000.000 USD,N/A,Series B,N/A,N/A,N/A
4,See-Out Pty Ltd,Pittsburgh,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,"Forschung & EntwicklungKünstliche IntelligenzDaten & AnalytikDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,"Sandra Mau, Cameron Mitchell, Ryan Patterson",700.000 AUD,N/A,Seed,N/A,N/A,N/A
5,TrademarkNow Inc.,New York,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,"EDV & ITBau und GebäudetechnikDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,"Daniel Waterhouse, Jan C. Maier, Mikael Kolehmainen, Anna Ronkainen, Matti Kokkola, Heikki Vesalainen",9.373.977 USD,N/A,Series B,N/A,N/A,N/A
6,Torando Labs,New York,Handel & Konsum,N/A,N/A,N/A,Keine Angabe,Nein,Handel & KonsumHandel & Einkauf,N/A,Nein,"Todd Levy, Matt Reiferson",900.001 USD,N/A,Seed,N/A,N/A,N/A
7,TopVisible,Malmö,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRVertrieb & Marketing,N/A,Nein,"Jacob Lonroth, Magnus Äng",N/A,N/A,Seed,N/A,N/A,N/A
8,Toptranslation GmbH,Hamburg,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,"EDV & ITDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,"Patrick Prokesch, Anh Tu Sam, Alessa Anna Hartz, Stefan Rohde, Houman Gieleky, Matthias Bauer, Ariadne Rust",N/A,N/A,Seed,N/A,N/A,N/A
9,"Toptal, LLC",San Francisco,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungVerwaltungsdienstleistungenDesignSoftware,N/A,Nein,"Taso Du Val, Breanden Beneschott, Denis Grosz, Hrish Lotlikar, Subin Sebastian, Alvaro Oliveira, Nelson Wang, Alexander Danilenko, Radek Ostrowski, Michael W Newlin, Mark Bosma, Eryn Peters, Gabriel Pleszowski, Demir Selmanovic, Hector Angulo, Alejandro Rigatuso, Simon Sproule, Marcela Kashiwagi, John Shinn, Rajeev Jeyakumar, Josip Bojcic, Jesús Darío Rivera Rubio, Shaman McLean, Pavel Vydra, Jennifer Weinmann, Mike Roth, Ethan Brooks, Milana Cap, Rory Bellow, Asia Lindsay, Bozhidar Batsov, Tin Chu, Avi Aryan, Dmitry Pavlov, Michelle Labbe, Justas Azna, Josip Medic, Henrique Perticarati, Darion Cassel, Igor Dultsev, Dane Harris, Artem Mezhenin, Jenny Shen, Dany Caissy, Erik Stettler, Justin Michela, Bill Tsingos, Christian Lerke, Justin Whittaker, Aaron Adler, Alan Reiner, Paul Estes, Marco Santos, Matt Holloway, Sergio Ermacora, Azim Mahomed Abdul Karim, Mehedi Hasan Khan, Nikola Todorovic, rahul pratap, Jordi Vilella",N/A,N/A,Seed,N/A,N/A,N/A
10,TopShelf Clothes,New York,Textil & Mode,N/A,N/A,N/A,Keine Angabe,Nein,Textil & ModeHandel & EinkaufDesign,N/A,Nein,"Katie Nadler, Ed Tsigal, Degelis Tufts",N/A,N/A,Seed,N/A,N/A,N/A
11,Topsfield Medical GmbH,Berlin,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & Soziales,N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
12,"TopScore, Inc.",Pittsburgh,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaMarketing & PRHandel & EinkaufGemeinschaft & LifestyleEvents & VeranstaltungenVertrieb & MarketingSoftwareSport & Unterhaltung,N/A,Nein,"Jeremy Kauffman, Alex Grintsvayg, Darren Shultz, Christian Jennewein, Ryan Snowden, Vivek Devaraj, David Vatz, Liam Rosen",208.200 USD,N/A,Seed,N/A,N/A,N/A
13,TopPay,São Paulo,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufBanken & Finanzen + VersicherungZahlungen,N/A,Nein,,250.000 USD,N/A,Seed,N/A,N/A,N/A
14,TopPatch,New York,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITDaten & AnalytikPrivatsphäre & SicherheitSoftware,N/A,Nein,"Chiranjeev Bordoloi, Stan Kleger",2.630.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
15,Topokine Therapeutics,Boston,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,"Murat V. Kalayoglu, Michael S. Singer",N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
16,Topo Insurance Group,Rexburg,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + Versicherung,N/A,Nein,"Cameron Patch, Geoffery Zellers",191.960 USD,N/A,Seed,N/A,N/A,N/A
17,Topmall,Kyiv,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaVerwaltungsdienstleistungenHandel & EinkaufGemeinschaft & Lifestyle,N/A,Nein,,8.700.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
18,Topline,Beijing,"Dienstleistung, Beratung + Recht & Steuern",N/A,N/A,N/A,Keine Angabe,Nein,"Dienstleistung, Beratung + Recht & SteuernVertrieb & Marketing",N/A,Nein,"Hu Yuefei, Michael Song, Xie Liangjun Leslie Xie, Kang Yi Canfool Kang, Yanfei Yan Ferri Yan",15.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
19,TopiVert,London,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITForschung & EntwicklungGesundheitswesen & SozialesBiotechnologieBanken & Finanzen + VersicherungKredite & Kapitalanlagen,N/A,Nein,Maina Bhaman,19.902.918 USD,N/A,Series A,N/A,N/A,N/A
20,Topic.,Barcelona,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaAppsMobilfunkbranchePlattformenSoftware,N/A,Nein,"Oriol Blanc, Ignacio Espada",50.000 USD,N/A,Seed,N/A,N/A,N/A
21,Topguest,San Francisco,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITVertrieb & MarketingSoftware,N/A,Nein,"Geoff Lewis, Ash Fontana, Ozan Onay",2.000.000 USD,N/A,Series A,N/A,N/A,N/A
22,TopFloor,Santa Monica,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaTextil & ModeHandel & EinkaufDesignVideo,N/A,Nein,"Brian Lee, Rebekah Horne, Michael Palank",6.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
23,TopFachhandel UG,Berlin,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & Einkauf,N/A,Nein,"Chil Sung Pak, Dennis Just",N/A,N/A,Seed,N/A,N/A,N/A
24,Topera,San Diego,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesHardwareSoftware,N/A,Nein,"Ruchir Sehra, Art Taylor",31.518.531 USD,N/A,Series C,N/A,N/A,N/A
25,Topeka Capital Markets,New York,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + Versicherung,N/A,Nein,Victor Anthony,N/A,N/A,Series A,N/A,N/A,N/A
26,TraceUp,Huntington Beach,Hardware,N/A,N/A,N/A,Keine Angabe,Nein,HardwareMobilfunkbrancheSoftwareSport & Unterhaltung,N/A,Nein,"Ted Serbinski, David Lokshin, Julie Allegro, Anatole Lokshin, Rick Armbrust, Todd Cronin, Steve Lauria, Anatole M. Lokshin",2.100.000 USD,N/A,Seed,N/A,N/A,N/A
27,Tracers Technology,Nantes,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & IT,N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
28,Tracelytics,Providence,Software,N/A,N/A,N/A,Keine Angabe,Nein,Software,N/A,Nein,"Katie Rae, David Aronoff, Chip Hazard, Alex Benik, John Vigeant, Spiros Eliopoulos, Chris Erway, Dan Kuebrich, Brian Fleming, Brian Whalley, J. Rassi",5.800.000 USD,N/A,Series A,N/A,N/A,N/A
29,Traak Ltda.,Santiago,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaVerwaltungsdienstleistungenUnterhaltungselektronikHardwareSoftware,N/A,Nein,"Rodrigo Nieto, Francisco Ortuzar, Nicolas Correa, Alberto Jaramillo, Matias Maturana, Fernanda Eisendecher, Constanza Gonzalez, Marcelo Arre",100.000 USD,N/A,Seed,N/A,N/A,N/A
30,TPP Global Development,Edinburgh,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologieSoftware,N/A,Nein,Peter Trill,12.200.000 USD,N/A,Series A,N/A,N/A,N/A
31,Krajowy Integrator Platnosci S.A. (KIP S.A.),Poznan,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + VersicherungZahlungen,N/A,Nein,Pamela Wiśnewska,90.000 PLN,N/A,Pre-Seed,N/A,N/A,N/A
32,Toytemic Inventions,Moscow,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungHandel & KonsumUnterhaltungselektronikHardwareSoftware,N/A,Nein,"Alexey Chechendaev, Andrey Gabelko, Evgeny Smetanin",N/A,N/A,Seed,N/A,N/A,N/A
